"trap","adelobotrys adscendens","alchorneopsis floribunda","annona papilionella","apeiba membranacea","aristolochia sprucei","asterogyne martiana","bertiera guianensis","bignonia binata","brosimun lactescens","bursera simaruba","byrsonima crassifolia","casearia arborea","cecropia insignis","cecropia obtusifolia","cespedesia spathulata","cestrum schlechtendalii","clethra sp","clidemia crenulata","clidemia densiflora","clidemia dentata","clidemia discolor","clidemia japurensis","conostegia subcrustulata","conostegia xalapensis","cordia alliodora","cordia bicolor","davilla nitida","dendropanax arboreus","doliocarpus multiflorus","euterpe precatoria","ficus colubrinae","ficus donell-smithi","ficus insipida","ficus nymphaefolia","ficus pertusa","ficus sp","ficus sp2","Forsteronia myriantha","goethalsia meiantha","gouania polygama","guatteria aeruginosa","guatteria amplifolia","guatteria recurvisepala","hamelia xerocarpa","hampea appendiculata","heisteria scandens","heterocondylus vitalbae","iriartea deltoidea","jacaranda copaia","laetia procera","lauraceae","leandra granatensis","leandra longicoma","luehea seemannii","mandevilla hirsuta","mendoncia tonduzii","miconia affinis","miconia approximata","miconia elata","miconia lacera","miconia ligulata","miconia multispicata","miconia nervosa","miconia prasina","miconia stevensiana","myrcia splendens","nectandra membranacea","neea laetevirens","palicourea guianensis","paullinia cf. fasciculata","paullinia granatensis","paullinia ingifolia","piper aduncum","piper arcteacuminatum","piper auritifolium","piper auritum","piper colonense","piper melanocladum","piper multiplinervium","piper peltatum","piper sancti-felicis","piper schiedeanum","piper sp","piper trigonum","piptocarpha poeppigiana","prestoea decurrens","protium sp","psychotria brachiata","psychotria chiapensis","psychotria gracilenta","psychotria luxurians","psychotria marginata","psychotria panamensis","psychotria poeppigiana","psychotria sp","rollinia pittierii","rubiaceae","sabicea panamensis","sabicea villosa","schefflera nicaraguensis","schlegelia fastigiata","senna papillosa","serjania mexicana","serjania pyramidata","simarouba amara","siparuna grandiflora","siparuna paucifolia","siparuna thecaphora","smilax officinalis","solanum rugosum","solanum volubile","talauma gloriensis","tetrapterys sp","urera caracasana","virola sebifera","vismia baccifera","vismia billbergiana","vismia macrophylla","vochysia ferruginea","warszewiczia coccinea","witheringia asterotricha","xylopia sericophylla","zanthoxylum panamense"
21,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,35,0,1,0,0,481,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,51,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0
22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,658,0,0,0,0,4417,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1053,0,0,0,1,0,0,2,0,0,0,11,258,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,45,0,0,5,3,0,0,2,0,0,2,0,0,0,0,0,0,1,0,2,2,2,0,0,211,0,35,1,4,5096,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,69,0,0,0,0,0,42,0,0,0,9,1,0,0,0,0,0,1,3,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
24,0,6,0,0,2,0,0,0,1,0,0,0,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,92,0,0,0,0,187,0,0,0,0,0,0,0,2,0,0,0,0,0,0,89,0,37,0,0,1,0,1,29,0,0,0,2,0,0,0,0,0,0,0,1,11,77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,5,0,0,0,1
25,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,33,0,0,1,0,0,0,0,0,0,0,2,52,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,15,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0,1,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
28,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1288,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,83,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,0,0,0,3,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,1,0,0,1022,1,4,0,0,29,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,57,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42,0,22,0,0,0
30,0,5,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,2,0,0,0,0,13,0,0,0,1,0,0,0,17,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,678,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,41,0,0,0,0,3,16,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
31,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
32,0,2,0,4,0,0,0,0,0,0,0,0,1,105,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,976,0,141,0,0,0,14,0,29,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,65,1,0,11,0,0,0,0
33,0,0,0,0,2,0,0,0,0,1,0,0,0,164,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,5,0,0,0,0,0,0,0,12,38,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,15,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,22,0,3,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,16,0,2,0,0,0,54,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1
35,0,7,0,0,2,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,198,0,0,0,7,1,0,0,0,0,0,0,0,0,0,786,0,11,0,0,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,1,0
36,0,4,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,157,0,2,0,2,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0
